procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 96891848 100556 28591952    0    0     0     0 2133 1557  8  1 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 96874432 100560 28609240    0    0     0    40 2295 1781  8  1 90  0  0
 4  0      0 96924080 100560 28560952    0    0     0     0 2132 1374  8  1 91  0  0
 4  0      0 96918256 100560 28561020    0    0     0     0 2279 1773  9  1 90  0  0
 8  0      0 96919656 100560 28560520    0    0     0     0 2126 1537  8  1 90  0  0
 4  0      0 96917872 100560 28560596    0    0     0     0 2158 1537  8  1 91  0  0
 4  0      0 96915448 100564 28562356    0    0     0    16 2070 1765  8  1 90  0  0
 8  0      0 96917264 100564 28560804    0    0     0     0 2065 1389  8  1 91  0  0
 4  0      0 96919520 100564 28562172    0    0     0     0 2276 1651  9  1 90  0  0
 8  0      0 96885008 100564 28597976    0    0     0     0 2155 1618  8  1 90  0  0
 4  0      0 96920624 100564 28561316    0    0     0     0 2085 1481  8  1 91  0  0
 8  0      0 96916176 100564 28561100    0    0     0    16 2022 1456  8  1 91  0  0
 8  0      0 96921264 100564 28560840    0    0     0     0 2303 1747  8  1 90  0  0
 4  0      0 96921352 100564 28560452    0    0     0    20 2161 1529  8  1 90  0  0
 7  0      0 96872024 100564 28615100    0    0     0     0 2070 1679  9  1 90  0  0
 4  0      0 96919264 100564 28560320    0    0     0     0 2105 1430  8  1 91  0  0
 4  0      0 96919792 100564 28561428    0    0     0    28 2219 1752  9  1 90  0  0
 8  0      0 96882160 100564 28598052    0    0     0     0 2042 1597  8  1 91  0  0
 4  0      0 96918464 100564 28561376    0    0     0     0 2067 1458  8  1 91  0  0
 4  0      0 96920192 100564 28560924    0    0     0     0 2079 1610  8  1 90  0  0
 8  0      0 96924144 100564 28560972    0    0     0     0 2054 1591  8  1 91  0  0
 4  0      0 96924624 100564 28561336    0    0     0    16 2242 1547  8  1 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 96919152 100564 28560868    0    0     0     0 1900 1256  8  1 91  0  0
 4  0      0 96923992 100564 28560592    0    0     0     0 2144 1704  8  1 91  0  0
 4  0      0 96923584 100564 28560868    0    0     0     0 2157 1710  8  1 91  0  0
 8  0      0 96849984 100564 28636672    0    0     0     0 2013 1698  8  1 91  0  0
 4  0      0 96920448 100564 28560188    0    0     0    64 1998 1299  8  1 91  0  0
 4  0      0 96916808 100564 28561824    0    0     0     0 2076 1589  8  1 91  0  0
 8  0      0 96919504 100564 28560276    0    0     0     8 2027 1591  8  1 91  0  0
 4  0      0 96917848 100564 28561136    0    0     0     0 1892 1550  8  1 91  0  0
 4  0      0 96917512 100564 28561640    0    0     0     0 2533 1730  8  1 91  0  0
 4  0      0 96915824 100564 28561664    0    0     0    40 1906 1460  8  1 91  0  0
 4  0      0 96915808 100564 28561228    0    0     0     0 2275 1710  8  1 90  0  0
 4  0      0 96915912 100564 28559988    0    0     0     0 1979 1344  8  1 91  0  0
 4  0      0 96914496 100564 28561488    0    0     0     0 2307 1735  9  1 90  0  0
 4  0      0 96913960 100564 28561344    0    0     0     4 2184 1709  9  1 90  0  0
 8  0      0 96912080 100568 28560632    0    0     0    32 2240 1641  8  1 91  0  0
 4  0      0 96913344 100568 28561004    0    0     0     0 2289 1596  8  1 90  0  0
 6  0      0 96877632 100568 28599376    0    0     0     0 2273 1609  8  1 90  0  0
 8  0      0 96915696 100568 28560704    0    0     0     0 2166 1550  8  1 91  0  0
 4  0      0 96920912 100568 28560884    0    0     0     0 2353 1678  8  1 90  0  0
 8  0      0 96845320 100572 28635484    0    0     0    16 2044 1589  8  1 91  0  0
 4  0      0 96919664 100572 28561364    0    0     0     0 2083 1419  8  1 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 96918240 100572 28562168    0    0     0     0 2075 1595  8  1 91  0  0
 4  0      0 96923776 100580 28560916    0    0     0    16 2071 1457  8  1 91  0  0
 4  0      0 96920608 100580 28560536    0    0     0     0 2173 1771  9  1 90  0  0
 7  0      0 96865888 100580 28617728    0    0     0    40 2226 1623  9  1 90  0  0
 8  0      0 96919696 100580 28560784    0    0     0     0 2130 1526  8  1 91  0  0
