index, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
1, 92 %, 50 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 91 %, 42 %, 7815 MiB
1, 92 %, 42 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 94 %, 49 %, 7815 MiB
1, 95 %, 49 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 43 %, 7815 MiB
1, 92 %, 43 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 48 %, 7815 MiB
1, 95 %, 49 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 46 %, 7815 MiB
1, 93 %, 46 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 44 %, 7815 MiB
1, 95 %, 44 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 50 %, 7815 MiB
1, 90 %, 50 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 97 %, 44 %, 7815 MiB
1, 96 %, 46 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 89 %, 47 %, 7815 MiB
1, 94 %, 48 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 91 %, 42 %, 7815 MiB
1, 93 %, 41 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 47 %, 7815 MiB
1, 96 %, 50 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 48 %, 7815 MiB
1, 95 %, 45 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 43 %, 7815 MiB
1, 95 %, 44 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 50 %, 7815 MiB
1, 90 %, 50 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 45 %, 7815 MiB
1, 96 %, 44 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 47 %, 7815 MiB
1, 88 %, 48 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 87 %, 40 %, 7815 MiB
1, 95 %, 42 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 45 %, 7815 MiB
1, 96 %, 47 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 88 %, 48 %, 7815 MiB
1, 92 %, 48 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 97 %, 46 %, 7815 MiB
1, 97 %, 45 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 50 %, 7815 MiB
1, 93 %, 50 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 91 %, 43 %, 7815 MiB
1, 92 %, 43 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 91 %, 48 %, 7815 MiB
1, 92 %, 48 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 42 %, 7815 MiB
1, 93 %, 42 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 50 %, 7815 MiB
1, 96 %, 50 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 44 %, 7815 MiB
1, 93 %, 44 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 47 %, 7815 MiB
1, 96 %, 48 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 94 %, 46 %, 7815 MiB
1, 89 %, 48 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 42 %, 7815 MiB
1, 96 %, 43 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 86 %, 46 %, 7815 MiB
1, 94 %, 47 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 43 %, 7815 MiB
1, 93 %, 40 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 49 %, 7815 MiB
1, 96 %, 48 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 44 %, 7815 MiB
1, 95 %, 44 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 49 %, 7815 MiB
1, 89 %, 49 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 97 %, 46 %, 7815 MiB
1, 96 %, 46 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 97 %, 49 %, 7815 MiB
1, 91 %, 49 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 94 %, 45 %, 7815 MiB
1, 89 %, 45 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 43 %, 7815 MiB
1, 95 %, 44 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 49 %, 7815 MiB
1, 87 %, 49 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 42 %, 7815 MiB
1, 89 %, 42 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 50 %, 7815 MiB
1, 96 %, 49 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 47 %, 7815 MiB
1, 88 %, 49 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 42 %, 7815 MiB
1, 97 %, 44 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 51 %, 7815 MiB
1, 89 %, 48 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 87 %, 40 %, 7815 MiB
1, 91 %, 39 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 47 %, 7815 MiB
1, 96 %, 48 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 47 %, 7815 MiB
1, 91 %, 49 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 43 %, 7815 MiB
1, 96 %, 44 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7815 MiB
1, 93 %, 51 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 44 %, 7815 MiB
1, 96 %, 44 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 51 %, 7815 MiB
1, 93 %, 51 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 45 %, 7815 MiB
1, 95 %, 45 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 91 %, 49 %, 7815 MiB
1, 92 %, 48 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 42 %, 7815 MiB
1, 92 %, 42 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 50 %, 7815 MiB
1, 97 %, 50 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 44 %, 7815 MiB
1, 93 %, 43 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 47 %, 7815 MiB
1, 96 %, 50 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 47 %, 7815 MiB
1, 93 %, 45 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 44 %, 7815 MiB
1, 95 %, 46 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7815 MiB
1, 94 %, 49 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 43 %, 7815 MiB
1, 95 %, 45 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 94 %, 51 %, 7815 MiB
1, 94 %, 51 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 42 %, 7815 MiB
1, 96 %, 43 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7815 MiB
1, 94 %, 51 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 44 %, 7815 MiB
1, 96 %, 44 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 51 %, 7815 MiB
1, 93 %, 51 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 97 %, 46 %, 7815 MiB
1, 97 %, 46 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 91 %, 49 %, 7815 MiB
1, 91 %, 49 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 41 %, 7815 MiB
1, 92 %, 41 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 50 %, 7815 MiB
1, 96 %, 50 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 43 %, 7815 MiB
1, 93 %, 43 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 48 %, 7815 MiB
1, 96 %, 48 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 89 %, 49 %, 7815 MiB
1, 95 %, 48 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
